z(km);T(K);p(bars);rho(kg m-3)
0;735.3;92.1;64.79
1;727.7;86.45;61.56
2;720.2;81.09;58.45
3;712.4;76.01;55.47
4;704.6;71.2;52.62
5;696.8;66.65;49.87
6;688.8;62.35;47.24
7;681.1;58.28;44.71
8;673.6;54.44;42.26
9;665.8;50.81;39.95
10;658.2;47.39;37.72
11;650.6;44.16;35.58
12;643.2;41.12;33.54
13;635.5;38.26;31.6
14;628.1;35.57;29.74
15;620.8;33.04;27.95
16;613.3;30.66;26.27
17;605.2;28.43;24.68
18;597.1;26.33;23.18
19;589.3;24.36;21.74
20;580.7;22.52;20.39
21;572.4;20.79;19.11
22;564.3;19.17;17.88
23;556;17.66;16.71
24;547.5;16.25;15.62
25;539.2;14.93;14.57
26;530.7;13.7;13.59
27;522.3;12.56;12.65
28;513.8;11.49;11.77
29;505.6;10.5;10.93
30;496.9;9.581;10.15
31;488.3;8.729;9.406
32;479.9;7.94;8.704
33;471.7;7.211;8.041
34;463.4;6.537;7.42
35;455;5.916;6.838
36;446.8;5.345;6.291
37;438.6;4.82;5.777
38;430.8;4.338;5.292
39;423.3;3.897;4.835
40;415.5;3.495;4.418
41;408.1;3.127;4.024
42;401.6;2.793;3.652
43;395;2.491;3.31
44;388.3;2.216;2.996
45;381.8;1.969;2.704
46;376.1;1.745;2.434
47;370.2;1.544;2.187
48;364.6;1.364;1.961
49;357.5;1.202;1.758
50;349.7;1.057;1.584
51;341.1;0.9258;1.422
52;332.5;0.8087;1.274
53;321.9;0.7036;1.146
54;312.3;0.6095;1.022
55;301.4;0.5255;0.9132
56;290.2;0.4505;0.8132
57;278.3;0.3839;0.7224
58;267.4;0.3249;0.6363
59;258.7;0.2733;0.5531
60;253.3;0.2289;0.4729
62;246.2;0.1591;0.3381
64;240.7;0.1096;0.2381
66;235.8;7.49E-02;0.166
68;231.9;5.08E-02;0.1146
70;228.2;3.43E-02;7.85E-02
72;224.6;2.30E-02;5.35E-02
74;221;1.53E-02;3.62E-02
76;216.2;1.01E-02;2.45E-02
78;210.4;6.63E-03;1.65E-02
80;202.5;4.28E-03;1.10E-02
82;195.5;2.72E-03;7.26E-03
84;188.6;1.70E-03;4.71E-03
86;181.8;1.04E-03;3.00E-03
88;176.6;6.32E-04;1.87E-03
90;172.3;3.77E-04;1.14E-03
92;170.4;2.23E-04;6.84E-04
94;169.5;1.32E-04;4.05E-04
96;170;7.77E-05;2.38E-04
98;170.9;4.60E-05;1.40E-04
100;172.2;2.73E-05;8.24E-05